timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1715854822.573293 0.06990352 -0.04372120 -0.01160090 -0.00085143 0.00293480 0.00014543
1715854822.639978 0.06990357 -0.04372122 -0.01160091 0.00038927 0.00361238 -0.00044509
1715854822.706664 0.06990357 -0.04372122 -0.01160091 -0.00007107 0.00326651 -0.00070191
1715854822.773349 0.06990357 -0.04372122 -0.01160090 -0.00040142 0.00361379 -0.00065153
1715854822.840034 0.06990357 -0.04372122 -0.01160090 -0.00026218 0.00374254 -0.00021831
1715854822.906719 0.06990357 -0.04372122 -0.01160090 -0.00057927 0.00333490 -0.00043108
1715854822.973404 0.06990356 -0.04372122 -0.01160090 -0.00088674 0.00330352 -0.00022397
1715854823.040089 0.06990354 -0.04372121 -0.01160090 -0.00010033 0.00260209 -0.00004387
1715854823.106774 0.06990354 -0.04372123 -0.01160090 -0.00065544 0.00335314 0.00081562
1715854823.173460 0.06990354 -0.04372123 -0.01160090 -0.00021286 0.00341733 -0.00027539
1715854823.240144 0.06990354 -0.04372123 -0.01160090 0.00006756 0.00323384 -0.00032994
1715854823.306830 0.06990354 -0.04372124 -0.01160090 -0.00055999 0.00316349 -0.00123728
1715854823.373515 0.06990357 -0.04372127 -0.01160091 -0.00063512 0.00320320 0.00047215
1715854823.440199 0.06990356 -0.04372127 -0.01160091 -0.00000020 0.00373032 0.00021329
1715854823.506889 0.06990357 -0.04372126 -0.01160091 -0.00010965 0.00365384 -0.00072654
1715854823.573579 0.06990358 -0.04372128 -0.01160091 -0.00046570 0.00288654 0.00019589
1715854823.640268 0.06990364 -0.04372131 -0.01160093 -0.00006848 0.00335748 -0.00037948
1715854823.706958 0.06990370 -0.04372135 -0.01160094 -0.00049606 0.00312179 0.00032383
1715854823.773648 0.06990370 -0.04372135 -0.01160094 0.00028078 0.00342003 -0.00054342
1715854823.840338 0.06990369 -0.04372135 -0.01160094 -0.00003300 0.00319580 -0.00020837
1715854823.907027 0.06990365 -0.04372135 -0.01160094 0.00020143 0.00361171 0.00002177
1715854823.973717 0.06990366 -0.04372135 -0.01160094 -0.00030197 0.00330842 -0.00032787
1715854824.040407 0.06990367 -0.04372136 -0.01160094 0.00037682 0.00337200 -0.00098549
1715854824.107098 0.06990367 -0.04372135 -0.01160094 0.00004464 0.00289603 0.00020560
1715854824.173788 0.06990368 -0.04372136 -0.01160094 -0.00034649 0.00306240 -0.00040185
1715854824.240478 0.06990368 -0.04372136 -0.01160094 -0.00029071 0.00339561 -0.00052594
1715854824.307168 0.06990365 -0.04372134 -0.01160094 0.00022338 0.00315813 -0.00084816
1715854824.373858 0.06990365 -0.04372134 -0.01160094 -0.00036137 0.00331517 -0.00017434
1715854824.440549 0.06990365 -0.04372134 -0.01160094 0.00009180 0.00349624 0.00052705
1715854824.507229 0.06990365 -0.04372135 -0.01160094 -0.00001045 0.00338192 0.00002481
1715854824.573909 0.06990365 -0.04372135 -0.01160094 -0.00012786 0.00343411 -0.00038734
1715854824.640589 0.06990365 -0.04372135 -0.01160094 0.00000475 0.00323860 -0.00058452
1715854824.707268 0.06990364 -0.04372138 -0.01160094 -0.00020298 0.00339314 0.00034319
1715854824.773947 0.06990364 -0.04372138 -0.01160094 -0.00017581 0.00281976 0.00035985
1715854824.840627 0.06990366 -0.04372139 -0.01160094 -0.00006381 0.00313968 -0.00039397
1715854824.907306 0.06990366 -0.04372139 -0.01160094 -0.00015760 0.00341509 -0.00073971
1715854824.973985 0.06990364 -0.04372138 -0.01160094 0.00107413 0.00310238 -0.00038617
1715854825.040664 0.06990364 -0.04372139 -0.01160094 0.00005576 0.00329919 0.00010491
1715854825.107344 0.06990366 -0.04372134 -0.01160094 -0.00041537 0.00303114 -0.00117393
1715854825.174023 0.06990365 -0.04372134 -0.01160094 0.00018363 0.00362573 -0.00040814
1715854825.240701 0.06990365 -0.04372135 -0.01160094 -0.00077946 0.00303475 0.00079365
1715854825.307379 0.06990366 -0.04372136 -0.01160094 0.00009751 0.00365595 -0.00079332
1715854825.374058 0.06990364 -0.04372137 -0.01160094 -0.00022945 0.00344564 -0.00101859
1715854825.440737 0.06990364 -0.04372136 -0.01160094 -0.00059691 0.00276232 -0.00015444
1715854825.507417 0.06990364 -0.04372136 -0.01160094 0.00011790 0.00317818 -0.00018914
1715854825.574097 0.06990363 -0.04372138 -0.01160093 0.00032716 0.00284107 -0.00091302
1715854825.640776 0.06990363 -0.04372138 -0.01160093 -0.00013122 0.00332271 -0.00022734
1715854825.707456 0.06990363 -0.04372138 -0.01160093 -0.00013349 0.00286155 -0.00019235
1715854825.774136 0.06990363 -0.04372138 -0.01160094 -0.00005050 0.00315089 -0.00037539
1715854825.840816 0.06990364 -0.04372139 -0.01160094 -0.00064857 0.00299041 0.00011787
1715854825.907495 0.06990364 -0.04372139 -0.01160094 -0.00011396 0.00328046 -0.00055446
1715854825.974175 0.06990366 -0.04372140 -0.01160095 -0.00047232 0.00291506 -0.00001690
1715854826.040854 0.06990369 -0.04372142 -0.01160095 -0.00028165 0.00341330 -0.00079401
1715854826.107533 0.06990371 -0.04372143 -0.01160096 0.00021850 0.00288652 0.00016028
1715854826.174212 0.06990370 -0.04372143 -0.01160096 0.00019893 0.00302218 0.00014494
1715854826.240891 0.06990370 -0.04372143 -0.01160096 0.00045669 0.00308384 -0.00018821
1715854826.307570 0.06990370 -0.04372143 -0.01160096 0.00007578 0.00354584 -0.00137528
1715854826.374249 0.06990371 -0.04372144 -0.01160096 -0.00068598 0.00288657 0.00057709
1715854826.440928 0.06990375 -0.04372147 -0.01160097 0.00029224 0.00339873 -0.00049830
1715854826.507617 0.06990377 -0.04372149 -0.01160098 -0.00057672 0.00323160 0.00014189
1715854826.574304 0.06990372 -0.04372145 -0.01160096 0.00020481 0.00359970 -0.00078364
1715854826.640993 0.06990378 -0.04372149 -0.01160098 -0.00052335 0.00317498 0.00000641
1715854826.707682 0.06990378 -0.04372149 -0.01160098 0.00023335 0.00346409 -0.00075355
1715854826.774371 0.06990378 -0.04372149 -0.01160098 0.00013271 0.00306865 -0.00032554
1715854826.841060 0.06990378 -0.04372149 -0.01160098 -0.00017267 0.00353944 -0.00036830
1715854826.907749 0.06990376 -0.04372148 -0.01160098 -0.00029633 0.00322506 -0.00003915
1715854826.974437 0.06990375 -0.04372147 -0.01160097 0.00036013 0.00395519 -0.00051000
1715854827.041126 0.06990372 -0.04372146 -0.01160096 -0.00038667 0.00330939 -0.00096400
1715854827.107816 0.06990372 -0.04372144 -0.01160096 -0.00040207 0.00397239 0.00017088
1715854827.174505 0.06990369 -0.04372144 -0.01160095 -0.00065570 0.00247929 0.00014304
1715854827.241194 0.06990370 -0.04372145 -0.01160096 -0.00114494 0.00340654 -0.00144232
1715854827.307884 0.06990370 -0.04372145 -0.01160096 -0.00044979 0.00346040 -0.00106195
1715854827.374574 0.06990368 -0.04372144 -0.01160095 -0.00057383 0.00309570 -0.00040805
1715854827.441262 0.06990370 -0.04372145 -0.01160096 -0.00057948 0.00360074 -0.00086260
1715854827.507951 0.06990370 -0.04372145 -0.01160096 0.00058646 0.00294601 -0.00009296
1715854827.574640 0.06990372 -0.04372146 -0.01160096 0.00013761 0.00317841 -0.00047090
1715854827.641328 0.06990372 -0.04372147 -0.01160096 -0.00039065 0.00303093 0.00076705
1715854827.708017 0.06990372 -0.04372147 -0.01160096 -0.00052122 0.00359336 -0.00054437
1715854827.774706 0.06990368 -0.04372146 -0.01160095 0.00000852 0.00367280 -0.00086878
1715854827.841395 0.06990368 -0.04372145 -0.01160095 -0.00015896 0.00332551 -0.00006178
1715854827.908083 0.06990368 -0.04372146 -0.01160095 -0.00005914 0.00358090 0.00042409
1715854827.974771 0.06990368 -0.04372145 -0.01160095 -0.00012256 0.00351304 -0.00126142
1715854828.041461 0.06990369 -0.04372143 -0.01160095 0.00046372 0.00325496 -0.00021124
1715854828.108150 0.06990369 -0.04372143 -0.01160095 -0.00006015 0.00296025 -0.00022712
1715854828.174839 0.06990368 -0.04372144 -0.01160095 -0.00023580 0.00355286 0.00002781
1715854828.241528 0.06990368 -0.04372144 -0.01160095 -0.00005030 0.00323402 -0.00061072
1715854828.308216 0.06990369 -0.04372144 -0.01160095 -0.00026591 0.00335245 -0.00160673
1715854828.374905 0.06990365 -0.04372140 -0.01160094 0.00025802 0.00311880 -0.00015662
1715854828.441595 0.06990365 -0.04372140 -0.01160094 -0.00024151 0.00331737 -0.00031325
1715854828.508276 0.06990365 -0.04372140 -0.01160094 -0.00079361 0.00323051 -0.00022157
1715854828.574958 0.06990363 -0.04372141 -0.01160094 -0.00024422 0.00331507 0.00057117
1715854828.641639 0.06990361 -0.04372135 -0.01160093 0.00018858 0.00368613 -0.00104812
1715854828.708320 0.06990361 -0.04372135 -0.01160093 0.00006844 0.00337178 -0.00046994
1715854828.775001 0.06990361 -0.04372135 -0.01160093 -0.00026382 0.00335590 -0.00015773
1715854828.841682 0.06990361 -0.04372135 -0.01160093 -0.00031425 0.00343650 -0.00050223
1715854828.908363 0.06990361 -0.04372137 -0.01160093 -0.00007807 0.00323023 0.00051191
1715854828.975044 0.06990361 -0.04372136 -0.01160093 -0.00027615 0.00301767 -0.00071234
1715854829.041725 0.06990359 -0.04372132 -0.01160092 -0.00147554 0.00354514 -0.00011009
1715854829.108405 0.06990361 -0.04372133 -0.01160093 -0.00032503 0.00358708 -0.00035094
1715854829.208426 0.06990361 -0.04372133 -0.01160092 -0.00015398 0.00349614 0.00011790
1715854829.275106 0.06990360 -0.04372133 -0.01160092 -0.00019405 0.00362728 -0.00049910
1715854829.341787 0.06990360 -0.04372133 -0.01160092 0.00012080 0.00313498 -0.00003291
1715854829.408467 0.06990361 -0.04372133 -0.01160092 -0.00048543 0.00303619 -0.00080142
